Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],Long Name,Income Group,Region
"Korea, Rep.",KOR,CO2 emissions (kt),EN.ATM.CO2E.KT,589400.577,584079.76,592499.192,..,..,..,Republic of Korea,High income,East Asia & Pacific
Kosovo,KSV,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,Republic of Kosovo,Lower middle income,Europe & Central Asia
Kuwait,KWT,CO2 emissions (kt),EN.ATM.CO2E.KT,91029.608,101146.861,97960.238,..,..,..,State of Kuwait,High income,Middle East & North Africa
Lao PDR,LAO,CO2 emissions (kt),EN.ATM.CO2E.KT,1624.481,2159.863,2174.531,..,..,..,Lao People's Democratic Republic,Lower middle income,East Asia & Pacific
Lebanon,LBN,CO2 emissions (kt),EN.ATM.CO2E.KT,20450.859,22640.058,22581.386,..,..,..,Lebanese Republic,Upper middle income,Middle East & North Africa
Liberia,LBR,CO2 emissions (kt),EN.ATM.CO2E.KT,894.748,1030.427,957.087,..,..,..,Republic of Liberia,Low income,Sub-Saharan Africa
Libya,LBY,CO2 emissions (kt),EN.ATM.CO2E.KT,39390.914,52397.763,51040.973,..,..,..,Socialist People's Libyan Arab Jamahiriya,Upper middle income,Middle East & North Africa
St. Lucia,LCA,CO2 emissions (kt),EN.ATM.CO2E.KT,407.037,407.037,407.037,..,..,..,St. Lucia,Upper middle income,Latin America & Caribbean
Liechtenstein,LIE,CO2 emissions (kt),EN.ATM.CO2E.KT,47.671,47.671,51.338,..,..,..,Principality of Liechtenstein,High income,Europe & Central Asia
Sri Lanka,LKA,CO2 emissions (kt),EN.ATM.CO2E.KT,15232.718,16226.475,16024.79,..,..,..,Democratic Socialist Republic of Sri Lanka,Lower middle income,South Asia
Lesotho,LSO,CO2 emissions (kt),EN.ATM.CO2E.KT,2200.2,2222.202,2295.542,..,..,..,Kingdom of Lesotho,Lower middle income,Sub-Saharan Africa
Lithuania,LTU,CO2 emissions (kt),EN.ATM.CO2E.KT,13787.92,13831.924,12640.149,..,..,..,Republic of Lithuania,High income,Europe & Central Asia
Luxembourg,LUX,CO2 emissions (kt),EN.ATM.CO2E.KT,10938.661,10663.636,10161.257,..,..,..,Grand Duchy of Luxembourg,High income,Europe & Central Asia
Latvia,LVA,CO2 emissions (kt),EN.ATM.CO2E.KT,7300.997,7062.642,7080.977,..,..,..,Republic of Latvia,High income,Europe & Central Asia
"Macao SAR, China",MAC,CO2 emissions (kt),EN.ATM.CO2E.KT,2357.881,2273.54,2167.197,..,..,..,Macao Special Administrative Region of the People's Republic of China,High income,East Asia & Pacific
St. Martin (French part),MAF,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,St. Martin (French part),High income,Latin America & Caribbean
Morocco,MAR,CO2 emissions (kt),EN.ATM.CO2E.KT,57685.577,62724.035,58558.323,..,..,..,Kingdom of Morocco,Lower middle income,Middle East & North Africa
Monaco,MCO,CO2 emissions (kt),EN.ATM.CO2E.KT,..,..,..,..,..,..,Principality of Monaco,High income,Europe & Central Asia
Moldova,MDA,CO2 emissions (kt),EN.ATM.CO2E.KT,5038.458,4924.781,4976.119,..,..,..,Republic of Moldova,Lower middle income,Europe & Central Asia
Madagascar,MDG,CO2 emissions (kt),EN.ATM.CO2E.KT,2313.877,2665.909,3076.613,..,..,..,Republic of Madagascar,Low income,Sub-Saharan Africa
Maldives,MDV,CO2 emissions (kt),EN.ATM.CO2E.KT,953.42,1078.098,1048.762,..,..,..,Republic of Maldives,Upper middle income,South Asia
Mexico,MEX,CO2 emissions (kt),EN.ATM.CO2E.KT,466779.764,480883.046,488602.081,..,..,..,United Mexican States,Upper middle income,Latin America & Caribbean
